molecule_id_a,molecule_id_b,severity,mechanism,provenance
MOL-00013,MOL-00269,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00272,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00274,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00287,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv
MOL-00013,MOL-00289,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00292,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00305,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00308,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv
MOL-00013,MOL-00324,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00331,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00333,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00347,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00352,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00362,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00375,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00383,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00384,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00385,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00391,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00394,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_R.csv
MOL-00013,MOL-00413,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00417,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00420,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00428,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00444,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00445,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00449,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00506,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00465,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00471,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00473,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv
MOL-00013,MOL-00479,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00511,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00512,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00515,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_H.csv
