drugbank_id_a,drugbank_id_b,ddinter_id_a,ddinter_id_b,drug_a,drug_b,severity,mechanism,source_file,n_source_files,severity_conflict_across_files
,,DDInter3,DDInter909,Abametapir (topical),Imatinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter915,Abametapir (topical),Indacaterol,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter973,Abametapir (topical),Irinotecan,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter974,Abametapir (topical),Irinotecan (liposomal),Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter991,Abametapir (topical),Isotretinoin,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter997,Abametapir (topical),Ivacaftor,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter998,Abametapir (topical),Ivermectin,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_P.csv,2,false
,,DDInter4,DDInter44,Abarelix,Alfuzosin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter76,Abarelix,Amiodarone,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter77,Abarelix,Amisulpride,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter78,Abarelix,Amitriptyline,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter82,Abarelix,Amoxapine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter93,Abarelix,Anagrelide,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter406,Abarelix,Clofazimine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter410,Abarelix,Clomipramine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter419,Abarelix,Clozapine,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter448,Abarelix,Crizotinib,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter484,Abarelix,Dasatinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter485,Abarelix,Daunorubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter486,Abarelix,Daunorubicin (liposomal),Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter504,Abarelix,Desipramine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter512,Abarelix,Deutetrabenazine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter528,Abarelix,Dextropropoxyphene,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter575,Abarelix,Disopyramide,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter580,Abarelix,Dofetilide,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter581,Abarelix,Dolasetron,Major,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter583,Abarelix,Donepezil,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter593,Abarelix,Doxepin,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter594,Abarelix,Doxepin (topical),Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter596,Abarelix,Doxorubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter602,Abarelix,Dronedarone,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter603,Abarelix,Droperidol,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter624,Abarelix,Efavirenz,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter640,Abarelix,Encorafenib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter648,Abarelix,Entrectinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter655,Abarelix,Epirubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter666,Abarelix,Eribulin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter670,Abarelix,Erythromycin,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter672,Abarelix,Escitalopram,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter708,Abarelix,Ezogabine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter712,Abarelix,Famotidine,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter737,Abarelix,Fingolimod,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter740,Abarelix,Flecainide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter743,Abarelix,Fluconazole,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter758,Abarelix,Fluoxetine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter760,Abarelix,Fluphenazine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter776,Abarelix,Formoterol,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv,2,false
,,DDInter4,DDInter779,Abarelix,Foscarnet,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter786,Abarelix,Fostemsavir,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter787,Abarelix,Frangula purshiana bark,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter802,Abarelix,Galantamine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter809,Abarelix,Gatifloxacin,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter813,Abarelix,Gemifloxacin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter817,Abarelix,Gilteritinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter822,Abarelix,Glasdegib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter832,Abarelix,Glycerin,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter840,Abarelix,Granisetron,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter4,DDInter853,Abarelix,Haloperidol,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter854,Abarelix,Halothane,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter893,Abarelix,Hydroxychloroquine,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_P.csv,2,false
,,DDInter4,DDInter895,Abarelix,Hydroxyzine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter901,Abarelix,Ibutilide,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter904,Abarelix,Idarubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter905,Abarelix,Idelalisib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter907,Abarelix,Iloperidone,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter912,Abarelix,Imipramine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter915,Abarelix,Indacaterol,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv,2,false
,,DDInter4,DDInter927,Abarelix,Inotuzumab ozogamicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter4,DDInter987,Abarelix,Isoprenaline,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv,2,false
,,DDInter4,DDInter996,Abarelix,Ivabradine,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter94,Abatacept,Anakinra,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter500,Abatacept,Denosumab,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter564,Abatacept,Dimethyl fumarate,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter574,Abatacept,Diroximel fumarate,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter614,Abatacept,Echinacea,Minor,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter623,Abatacept,Efalizumab,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter687,Abatacept,Etanercept,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter737,Abatacept,Fingolimod,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter837,Abatacept,Golimumab,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter858,Abatacept,Hepatitis A Vaccine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter860,Abatacept,Hepatitis B Vaccine (Recombinant),Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter5,DDInter867,Abatacept,Human adenovirus e serotype 4 strain cl-68578 antigen,Moderate,,ddinter_downloads_code_L.csv,1,false
