drug,degree,top_file,anchor_concentration,n_files
binimetinib,168,L,1.0,8
galantamine,167,L,0.3473,8
kanamycin,167,A,1.0,6
sarilumab,167,L,1.0,6
desvenlafaxine,167,R,0.3234,8
phenylpropanolamine,167,R,1.0,8
fosinopril,167,A,0.4251,8
vitamin e,166,L,0.6867,7
desmopressin,166,H,1.0,7
lomustine,166,L,1.0,5
valaciclovir,166,A,0.3855,8
peginterferon alfa- b,166,L,1.0,7
procainamide,166,L,0.4639,8
isradipine,165,L,0.3515,8
enoxaparin,164,B,1.0,6
rilpivirine,164,L,0.4634,8
nitrofurantoin,164,L,0.372,8
dalteparin,164,B,1.0,6
butalbital,164,L,0.4329,8
lofexidine,164,L,0.3293,8
testosterone,164,A,0.3659,8
dinutuximab,164,L,1.0,7
conivaptan,163,L,0.546,8
lurasidone,163,A,0.411,8
alfentanil,163,A,0.3497,8
armodafinil,163,L,0.4908,8
phenylephrine,163,R,1.0,7
rivastigmine,163,L,0.3067,8
ceftriaxone,162,A,0.3889,8
ropinirole,162,A,0.358,8
lumateperone,161,A,0.4224,8
pamidronic acid,161,A,0.3478,8
avapritinib,161,L,0.4845,7
esomeprazole,161,A,1.0,8
diflunisal,160,A,0.3187,8
nisoldipine,160,L,0.3312,8
tetrabenazine,160,L,0.3438,8
hydroflumethiazide,160,A,0.575,7
polythiazide,160,A,0.575,7
oxazepam,159,A,0.327,8
dactinomycin,159,L,1.0,7
interferon alfacon,159,L,1.0,7
elotuzumab,159,L,1.0,6
rifabutin,158,L,0.5,8
chlorambucil,158,L,1.0,7
tinidazole,158,A,1.0,8
felbamate,158,L,0.519,8
ioversol,158,V,1.0,8
fluvastatin,156,L,0.4936,8
streptozocin,156,L,1.0,5
betaxolol,156,A,0.391,8
boceprevir,156,L,0.5641,8
nebivolol,155,A,0.3871,8
flibanserin,155,L,0.3742,8
lurbinectedin,155,L,0.7935,7
carisoprodol,155,A,0.3871,8
ezogabine,155,L,0.3742,8
rufinamide,155,L,0.4194,8
strontium chloride sr,155,V,1.0,7
lemborexant,154,L,0.4545,8
vilazodone,154,B,0.2922,8
ritodrine,154,A,0.3701,8
apomorphine,154,L,0.3442,8
darifenacin,154,A,0.3312,8
levonorgestrel,154,A,0.4351,8
fostemsavir,153,L,0.4771,8
nicardipine,153,L,0.3333,8
amyl nitrite,153,V,1.0,6
cephalexin,153,A,0.3922,8
phylloquinone,152,B,1.0,8
interferon alfa-n,152,L,0.9868,7
benazepril,152,A,0.4342,8
levetiracetam,152,A,0.375,8
zanubrutinib,152,L,0.4868,7
telaprevir,152,L,0.5658,8
nitrous acid,152,V,1.0,7
deutetrabenazine,151,L,0.3642,8
cariprazine,151,A,0.4305,8
troleandomycin,151,L,0.5563,8
iodide i,151,V,1.0,8
norethisterone,151,A,0.4238,8
sufentanil,150,A,0.3267,8
fosaprepitant,150,L,0.5133,8
didanosine,150,L,0.4,8
trovafloxacin,150,L,0.4467,8
tinzaparin,149,B,1.0,6
sonidegib,149,L,1.0,7
samarium lexidronam,149,V,1.0,4
bendroflumethiazide,149,A,0.5906,7
benzthiazide,148,A,0.5878,7
phentolamine,148,V,1.0,6
zonisamide,148,A,0.3378,8
fenoprofen,147,B,0.2857,7
letermovir,147,L,0.4966,8
diatrizoate,147,V,1.0,7
diethylpropion,147,A,1.0,8
butorphanol,146,A,0.3562,8
meclofenamic acid,146,B,0.2877,7
tirofiban,146,B,1.0,7
lamotrigine,146,A,0.3767,8
progesterone,146,A,0.5,8
lamivudine,145,A,0.3793,8
floxuridine,145,L,1.0,5
atovaquone,145,P,1.0,8
fondaparinux,144,B,1.0,6
tolmetin,144,B,0.2917,7
physostigmine,144,V,1.0,6
acetazolamide,144,A,0.5278,8
chlorhexidine,143,A,1.0,8
moexipril,143,A,0.4406,7
